Incident Number,Incident Title,Incident Description,Assigned Team,Resolution,Product Category,Priority,SLA Time
INC00269,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Pending,Hardware,High,1 Week
INC00270,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Hardware,Medium,3 Days
INC00271,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Closed,Storage,Critical,3 Days
INC00272,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Networking,Medium,24 Hours
INC00273,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Escalated,Storage,High,3 Days
INC00274,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Software,Critical,4 Hours
INC00275,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Closed,Storage,Medium,3 Days
INC00276,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Resolved,Hardware,Critical,3 Days
INC00277,Software Installation Error,Error encountered during the installation of software X.,Team A,Escalated,Storage,High,3 Days
INC00278,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Closed,Storage,Critical,24 Hours
INC00279,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Storage,Critical,4 Hours
INC00280,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Closed,Networking,Low,3 Days
INC00281,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Networking,Medium,3 Days
INC00282,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Networking,Medium,4 Hours
INC00283,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Resolved,Hardware,High,1 Week
INC00284,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Pending,Networking,Medium,3 Days
INC00285,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Networking,Medium,4 Hours
INC00286,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Pending,Software,Medium,24 Hours
INC00287,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Resolved,Networking,High,24 Hours
INC00288,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Storage,Critical,24 Hours
INC00289,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Storage,Low,4 Hours
INC00290,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Resolved,Software,Medium,4 Hours
INC00291,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Closed,Networking,Medium,3 Days
INC00292,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Pending,Networking,Low,1 Week
INC00293,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Resolved,Hardware,Medium,24 Hours
INC00294,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team C,Resolved,Software,Low,24 Hours
INC00295,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Pending,Networking,Low,4 Hours
INC00296,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Resolved,Storage,High,24 Hours
INC00297,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Networking,Critical,3 Days
INC00298,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Escalated,Hardware,Low,4 Hours
INC00299,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Hardware,High,24 Hours
INC00300,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Resolved,Software,High,24 Hours
INC00301,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Closed,Hardware,Low,4 Hours
INC00302,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Resolved,Hardware,Critical,4 Hours
INC00303,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Escalated,Software,Critical,24 Hours
INC00304,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Resolved,Storage,Medium,3 Days
INC00305,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Escalated,Hardware,Critical,4 Hours
INC00306,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Networking,High,4 Hours
INC00307,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Pending,Hardware,Low,24 Hours
INC00308,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Pending,Hardware,High,3 Days
INC00309,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Networking,Medium,24 Hours
INC00310,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Escalated,Hardware,Critical,1 Week
INC00311,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Storage,Critical,3 Days
INC00312,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Software,Critical,3 Days
INC00313,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Closed,Networking,High,4 Hours
INC00314,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Resolved,Hardware,Low,24 Hours
INC00315,Software Installation Error,Error encountered during the installation of software X.,Team D,Pending,Storage,Low,1 Week
INC00316,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Hardware,Critical,4 Hours
INC00317,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Resolved,Hardware,Medium,1 Week
INC00318,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Pending,Storage,Low,3 Days
INC00319,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Software,Medium,1 Week
INC00320,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Software,Medium,1 Week
INC00321,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Hardware,Critical,24 Hours
INC00322,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Hardware,Critical,3 Days
INC00323,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Networking,Critical,3 Days
INC00324,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Closed,Software,High,1 Week
INC00325,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Pending,Hardware,Low,24 Hours
INC00326,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Storage,Critical,1 Week
INC00327,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Software,Medium,3 Days
INC00328,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Closed,Networking,High,1 Week
INC00329,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Networking,Low,3 Days
INC00330,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Pending,Software,Low,3 Days
INC00331,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Resolved,Software,Medium,24 Hours
INC00332,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Storage,Critical,4 Hours
INC00333,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Closed,Hardware,Low,24 Hours
INC00334,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Software,Critical,1 Week
INC00335,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Pending,Hardware,Critical,3 Days
INC00336,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Networking,High,4 Hours
INC00337,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Hardware,Critical,1 Week
INC00338,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Closed,Software,Critical,24 Hours
INC00339,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Networking,Medium,1 Week
INC00340,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Escalated,Hardware,Low,4 Hours
INC00341,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Closed,Storage,Critical,4 Hours
INC00342,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Resolved,Hardware,High,3 Days
INC00343,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Pending,Hardware,High,1 Week
INC00344,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Resolved,Hardware,Medium,3 Days
INC00345,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Networking,Low,4 Hours
INC00346,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Closed,Storage,Critical,1 Week
INC00347,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Hardware,Low,24 Hours
INC00348,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team C,Escalated,Storage,High,4 Hours
INC00349,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Hardware,High,4 Hours
INC00350,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Hardware,High,1 Week
INC00351,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Networking,Medium,4 Hours
INC00352,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Resolved,Hardware,High,4 Hours
INC00353,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Closed,Software,Critical,1 Week
INC00354,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Resolved,Networking,Critical,4 Hours
INC00355,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Pending,Storage,Low,24 Hours
INC00356,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Escalated,Storage,High,3 Days
INC00357,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Storage,Medium,1 Week
INC00358,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Closed,Hardware,Medium,4 Hours
INC00359,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Software,Low,4 Hours
INC00360,Software Installation Error,Error encountered during the installation of software X.,Team C,Pending,Networking,Medium,24 Hours
INC00361,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Pending,Software,Medium,4 Hours
INC00362,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team C,Closed,Hardware,Low,24 Hours
INC00363,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Storage,Medium,1 Week
INC00364,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Closed,Storage,Critical,4 Hours
INC00365,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Closed,Networking,Low,4 Hours
INC00366,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Networking,High,3 Days
INC00367,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Pending,Networking,Critical,3 Days
INC00368,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Closed,Networking,Low,3 Days
INC00369,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Resolved,Networking,Medium,24 Hours
INC00370,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Storage,High,3 Days
INC00371,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Resolved,Hardware,Medium,24 Hours
INC00372,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Resolved,Storage,Critical,1 Week
INC00373,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Pending,Networking,Low,1 Week
INC00374,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Software,Low,4 Hours
INC00375,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Resolved,Networking,Critical,24 Hours
INC00376,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Closed,Storage,Medium,3 Days
INC00377,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Resolved,Software,Low,24 Hours
INC00378,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Hardware,Medium,3 Days
INC00379,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Escalated,Hardware,Low,1 Week
INC00380,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Hardware,Critical,3 Days
INC00381,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Closed,Storage,Low,24 Hours
INC00382,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Escalated,Storage,Low,4 Hours
INC00383,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Storage,Low,3 Days
INC00384,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Pending,Storage,Critical,1 Week
INC00385,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Closed,Software,Low,3 Days
INC00386,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Closed,Storage,High,4 Hours
INC00387,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Resolved,Networking,Critical,3 Days
INC00388,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Networking,High,1 Week
INC00389,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Escalated,Networking,Low,3 Days
INC00390,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Escalated,Software,Low,1 Week
INC00391,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Pending,Storage,Low,1 Week
INC00392,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Closed,Hardware,Low,24 Hours
INC00393,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Closed,Storage,Medium,1 Week
INC00394,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Software,High,24 Hours
INC00395,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Networking,Critical,4 Hours
INC00396,Software Installation Error,Error encountered during the installation of software X.,Team A,Escalated,Storage,High,4 Hours
INC00397,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Pending,Networking,Medium,4 Hours
INC00398,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Hardware,Medium,1 Week
INC00399,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Software,High,4 Hours
INC00400,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Escalated,Hardware,Low,4 Hours
INC00401,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Networking,High,24 Hours
INC00402,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Software,Medium,24 Hours
INC00403,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Closed,Hardware,High,24 Hours
INC00404,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Pending,Software,Low,4 Hours
INC00405,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Storage,Medium,24 Hours
INC00406,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Hardware,Low,24 Hours
INC00407,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Networking,Medium,24 Hours
INC00408,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Hardware,Medium,1 Week
INC00409,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Escalated,Software,High,4 Hours
INC00410,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Escalated,Software,High,3 Days
INC00411,Software Installation Error,Error encountered during the installation of software X.,Team D,Pending,Storage,High,4 Hours
INC00412,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Hardware,Low,3 Days
INC00413,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Networking,Low,4 Hours
INC00414,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Storage,Medium,3 Days
INC00415,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Software,Medium,4 Hours
INC00416,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Software,Critical,3 Days
INC00417,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Closed,Software,Low,24 Hours
INC00418,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Escalated,Networking,Critical,4 Hours
INC00419,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Networking,Medium,3 Days
INC00420,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Resolved,Networking,Critical,1 Week
INC00421,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Software,Medium,3 Days
INC00422,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Pending,Storage,Medium,24 Hours
INC00423,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Resolved,Software,High,3 Days
INC00424,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Storage,Critical,3 Days
INC00425,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Pending,Hardware,Low,4 Hours
INC00426,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Closed,Storage,Medium,4 Hours
INC00427,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Pending,Hardware,Medium,24 Hours
INC00428,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Software,High,3 Days
INC00429,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Escalated,Storage,Critical,3 Days
INC00430,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Closed,Storage,Low,1 Week
INC00431,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Resolved,Software,Low,24 Hours
INC00432,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Hardware,High,4 Hours
INC00433,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Software,Critical,3 Days
INC00434,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Hardware,Critical,1 Week
INC00435,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Software,Low,1 Week
INC00436,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Pending,Storage,Low,4 Hours
INC00437,Software Installation Error,Error encountered during the installation of software X.,Team C,Pending,Networking,Low,1 Week
INC00438,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Hardware,Critical,3 Days
INC00439,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Hardware,Low,24 Hours
INC00440,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Pending,Storage,Low,3 Days
INC00441,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Pending,Hardware,Critical,3 Days
INC00442,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Hardware,Low,24 Hours
INC00443,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Storage,High,24 Hours
INC00444,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Pending,Storage,Low,3 Days
INC00445,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Hardware,High,1 Week
INC00446,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Hardware,Low,1 Week
INC00447,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Closed,Hardware,High,1 Week
INC00448,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Escalated,Networking,High,3 Days
INC00449,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Resolved,Hardware,High,3 Days
INC00450,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Escalated,Storage,High,3 Days
INC00451,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Escalated,Hardware,High,1 Week
INC00452,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Networking,Critical,1 Week
INC00453,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Pending,Software,Low,4 Hours
INC00454,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Hardware,Medium,3 Days
INC00455,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Closed,Hardware,Medium,4 Hours
INC00456,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Networking,Low,3 Days
INC00457,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Closed,Networking,Medium,4 Hours
INC00458,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Closed,Storage,Medium,4 Hours
INC00459,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Escalated,Storage,High,24 Hours
INC00460,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Networking,Low,24 Hours
INC00461,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Storage,Critical,3 Days
INC00462,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Pending,Software,Critical,3 Days
INC00463,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Closed,Software,Low,24 Hours
INC00464,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Hardware,High,1 Week
INC00465,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Software,Medium,3 Days
INC00466,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Resolved,Storage,Medium,1 Week
INC00467,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Closed,Networking,Critical,24 Hours
INC00468,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Pending,Networking,Critical,3 Days
INC00469,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team C,Escalated,Networking,Medium,4 Hours
INC00470,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Hardware,Critical,24 Hours
INC00471,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Pending,Storage,High,1 Week
INC00472,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team C,Closed,Storage,Critical,4 Hours
INC00473,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Closed,Hardware,Critical,24 Hours
INC00474,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Closed,Storage,High,4 Hours
INC00475,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Escalated,Storage,Low,4 Hours
INC00476,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Networking,Critical,3 Days
INC00477,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Networking,Low,3 Days
INC00478,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Escalated,Software,Critical,1 Week
INC00479,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Hardware,Medium,3 Days
INC00480,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Closed,Networking,High,1 Week
INC00481,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Resolved,Software,High,24 Hours
INC00482,Software Installation Error,Error encountered during the installation of software X.,Team C,Pending,Software,Medium,1 Week
INC00483,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Pending,Storage,High,4 Hours
INC00484,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Pending,Software,Medium,24 Hours
INC00485,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Closed,Software,Low,4 Hours
INC00486,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Software,Medium,3 Days
INC00487,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Escalated,Software,Medium,24 Hours
INC00488,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Software,Low,3 Days
INC00489,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Closed,Networking,Low,24 Hours
INC00490,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Software,Low,3 Days
INC00491,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Networking,Medium,24 Hours
INC00492,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Software,Medium,3 Days
INC00493,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Hardware,Low,3 Days
INC00494,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Networking,High,4 Hours
INC00495,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Closed,Hardware,Low,3 Days
INC00496,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Escalated,Networking,Low,3 Days
INC00497,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Networking,High,1 Week
INC00498,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Closed,Storage,High,1 Week
INC00499,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Software,High,4 Hours
INC00500,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Escalated,Hardware,Medium,1 Week
INC00501,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Escalated,Storage,Medium,4 Hours
INC00502,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Storage,Low,1 Week
INC00503,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Escalated,Hardware,Critical,3 Days
INC00504,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Closed,Hardware,Critical,24 Hours
INC00505,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team C,Pending,Hardware,Critical,1 Week
INC00506,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Networking,Medium,24 Hours
INC00507,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Resolved,Storage,Low,3 Days
INC00508,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Storage,Medium,1 Week
INC00509,Password Reset Request,A user is requesting a password reset for their company account.,Team D,Resolved,Hardware,Medium,4 Hours
INC00510,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Escalated,Networking,Critical,3 Days
INC00511,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Resolved,Software,Medium,3 Days
INC00512,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Storage,Medium,3 Days
INC00513,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Escalated,Networking,Critical,1 Week
INC00514,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Networking,Low,24 Hours
INC00515,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Networking,High,1 Week
INC00516,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Escalated,Networking,High,24 Hours
INC00517,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Storage,Critical,4 Hours
INC00518,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Software,Low,4 Hours
INC00519,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Escalated,Hardware,Medium,24 Hours
INC00520,Password Reset Request,A user is requesting a password reset for their company account.,Team C,Closed,Networking,Low,1 Week
INC00521,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Networking,Low,4 Hours
INC00522,Software Installation Error,Error encountered during the installation of software X.,Team C,Pending,Networking,Medium,24 Hours
INC00523,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team A,Escalated,Hardware,Medium,1 Week
INC00524,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Resolved,Storage,High,1 Week
INC00525,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Pending,Networking,Critical,24 Hours
INC00526,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Networking,Low,24 Hours
INC00527,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Software,Medium,24 Hours
INC00528,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Closed,Storage,Medium,4 Hours
INC00529,Password Reset Request,A user is requesting a password reset for their company account.,Team A,Resolved,Hardware,Critical,3 Days
INC00530,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team B,Closed,Networking,Low,4 Hours
INC00531,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Closed,Hardware,Critical,1 Week
INC00532,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Software,Critical,4 Hours
INC00533,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Networking,High,4 Hours
INC00534,Password Reset Request,A user is requesting a password reset for their company account.,Team B,Resolved,Networking,Medium,4 Hours
INC00535,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Software,Low,4 Hours
INC00536,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Networking,Medium,1 Week
INC00537,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Escalated,Software,Critical,3 Days
INC00538,VPN Connectivity Issue,User is unable to connect to VPN from remote location.,Team D,Escalated,Storage,Medium,4 Hours
INC00539,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Networking,Critical,24 Hours
