Incident Number,Incident Title,Incident Description,Assigned Team,Resolution,Product Category,Priority,SLA Time,Incident Date,Resolution Date,Days to Resolve
INC00205,Software Installation Error,Error encountered during the installation of software X.,Team C,Pending,Software,High,24 Hours,2023-12-30,2024-01-09,10
INC00206,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Pending,Hardware,Medium,3 Days,2023-12-14,2023-12-23,9
INC00207,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Storage,Low,1 Week,2023-12-30,2024-01-02,3
INC00208,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Networking,High,24 Hours,2023-12-30,2024-01-02,3
INC00209,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Software,High,24 Hours,2023-12-25,2023-12-25,0
INC00210,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Software,Medium,3 Days,2023-12-29,2024-01-08,10
INC00211,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Networking,High,24 Hours,2024-01-08,2024-01-19,11
INC00212,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Software,Low,1 Week,2023-12-17,2023-12-19,2
INC00213,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Networking,Critical,4 Hours,2024-01-07,2024-01-10,3
INC00214,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Pending,Hardware,High,24 Hours,2023-12-10,2023-12-23,13
INC00215,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Networking,High,24 Hours,2023-12-15,2023-12-18,3
INC00216,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Closed,Hardware,High,24 Hours,2023-12-27,2024-01-04,8
INC00217,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Storage,Low,1 Week,2023-12-30,2023-12-30,0
INC00218,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Pending,Networking,Critical,4 Hours,2024-01-03,2024-01-11,8
INC00219,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Software,Critical,4 Hours,2023-12-27,2024-01-05,9
INC00220,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Storage,High,24 Hours,2024-01-03,2024-01-09,6
INC00221,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Closed,Hardware,Low,1 Week,2024-01-07,2024-01-21,14
INC00222,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Networking,High,24 Hours,2024-01-07,2024-01-15,8
INC00223,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Escalated,Hardware,Medium,3 Days,2024-01-08,2024-01-11,3
INC00224,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Storage,Low,1 Week,2023-12-30,2024-01-09,10
INC00225,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Escalated,Software,Critical,4 Hours,2023-12-10,2023-12-24,14
INC00226,Software Installation Error,Error encountered during the installation of software X.,Team C,Pending,Storage,Medium,3 Days,2023-12-29,2024-01-08,10
INC00227,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Storage,Critical,4 Hours,2023-12-12,2023-12-15,3
INC00228,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Software,Low,1 Week,2023-12-16,2023-12-18,2
INC00229,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Resolved,Hardware,Critical,4 Hours,2024-01-09,2024-01-17,8
INC00230,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Storage,Critical,4 Hours,2023-12-19,2023-12-29,10
INC00231,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Storage,High,24 Hours,2023-12-10,2023-12-21,11
INC00232,Software Installation Error,Error encountered during the installation of software X.,Team A,Escalated,Software,Low,1 Week,2024-01-05,2024-01-20,15
INC00233,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Software,Low,1 Week,2023-12-18,2023-12-23,5
INC00234,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Software,Low,1 Week,2023-12-25,2023-12-31,6
INC00235,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Software,Medium,3 Days,2023-12-20,2023-12-30,10
INC00236,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Networking,High,24 Hours,2023-12-11,2023-12-19,8
INC00237,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Software,Medium,3 Days,2023-12-13,2023-12-19,6
INC00238,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Storage,Critical,4 Hours,2023-12-23,2023-12-25,2
INC00239,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Pending,Hardware,Critical,4 Hours,2023-12-28,2023-12-29,1
INC00240,Software Installation Error,Error encountered during the installation of software X.,Team D,Escalated,Software,High,24 Hours,2023-12-13,2023-12-22,9
INC00241,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Escalated,Software,Low,1 Week,2024-01-08,2024-01-10,2
INC00242,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Pending,Hardware,Medium,3 Days,2023-12-25,2024-01-02,8
INC00243,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Networking,High,24 Hours,2023-12-18,2023-12-21,3
INC00244,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Networking,High,24 Hours,2024-01-06,2024-01-06,0
INC00245,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Storage,Critical,4 Hours,2023-12-19,2023-12-20,1
INC00246,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Storage,Low,1 Week,2023-12-13,2023-12-25,12
INC00247,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Storage,Medium,3 Days,2023-12-12,2023-12-22,10
INC00248,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Pending,Hardware,Medium,3 Days,2024-01-07,2024-01-11,4
INC00249,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Pending,Hardware,High,24 Hours,2023-12-24,2023-12-26,2
INC00250,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Storage,High,24 Hours,2023-12-25,2023-12-30,5
INC00251,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Networking,Low,1 Week,2024-01-07,2024-01-10,3
INC00252,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Resolved,Hardware,Low,1 Week,2023-12-21,2023-12-22,1
INC00253,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Networking,Low,1 Week,2024-01-09,2024-01-11,2
INC00254,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Networking,Low,1 Week,2024-01-08,2024-01-19,11
INC00255,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Software,High,24 Hours,2023-12-23,2024-01-07,15
INC00256,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Storage,Low,1 Week,2023-12-28,2024-01-04,7
INC00257,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Storage,Medium,3 Days,2023-12-20,2023-12-31,11
INC00258,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Software,High,24 Hours,2023-12-28,2024-01-02,5
INC00259,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Software,Critical,4 Hours,2024-01-09,2024-01-14,5
INC00260,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Resolved,Hardware,High,24 Hours,2023-12-29,2024-01-11,13
INC00261,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Software,High,24 Hours,2023-12-19,2024-01-03,15
INC00262,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Closed,Hardware,Low,1 Week,2024-01-08,2024-01-11,3
INC00263,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Software,Medium,3 Days,2024-01-09,2024-01-20,11
INC00264,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Networking,Low,1 Week,2023-12-30,2024-01-03,4
INC00265,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Storage,Low,1 Week,2023-12-21,2024-01-05,15
INC00266,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Storage,Low,1 Week,2023-12-18,2023-12-30,12
INC00267,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Escalated,Hardware,Critical,4 Hours,2023-12-15,2023-12-18,3
INC00268,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Software,Critical,4 Hours,2023-12-16,2023-12-16,0
INC00269,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Software,High,24 Hours,2023-12-25,2024-01-08,14
INC00270,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Closed,Hardware,High,24 Hours,2023-12-22,2023-12-27,5
INC00271,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Closed,Software,High,24 Hours,2024-01-08,2024-01-22,14
INC00272,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Networking,Low,1 Week,2024-01-04,2024-01-11,7
INC00273,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Storage,Medium,3 Days,2023-12-28,2024-01-03,6
INC00274,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Resolved,Hardware,Critical,4 Hours,2024-01-06,2024-01-15,9
INC00275,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Networking,Critical,4 Hours,2023-12-13,2023-12-25,12
INC00276,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Networking,Medium,3 Days,2023-12-30,2024-01-13,14
INC00277,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Closed,Hardware,Medium,3 Days,2023-12-12,2023-12-22,10
INC00278,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Resolved,Hardware,Medium,3 Days,2023-12-10,2023-12-23,13
INC00279,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Escalated,Hardware,Medium,3 Days,2023-12-27,2024-01-01,5
INC00280,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Escalated,Networking,High,24 Hours,2023-12-18,2023-12-20,2
INC00281,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Networking,Low,1 Week,2023-12-19,2023-12-20,1
INC00282,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Resolved,Hardware,High,24 Hours,2024-01-02,2024-01-08,6
INC00283,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Networking,Medium,3 Days,2023-12-22,2024-01-03,12
INC00284,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Storage,High,24 Hours,2023-12-10,2023-12-21,11
INC00285,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Networking,Low,1 Week,2023-12-11,2023-12-11,0
INC00286,Software Installation Error,Error encountered during the installation of software X.,Team D,Pending,Storage,Low,1 Week,2023-12-23,2024-01-03,11
INC00287,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Networking,Medium,3 Days,2023-12-11,2023-12-23,12
INC00288,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Storage,High,24 Hours,2023-12-16,2023-12-22,6
INC00289,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Storage,Low,1 Week,2023-12-20,2023-12-31,11
INC00290,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Escalated,Hardware,Critical,4 Hours,2024-01-07,2024-01-15,8
INC00291,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Resolved,Hardware,Critical,4 Hours,2024-01-04,2024-01-07,3
INC00292,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Closed,Hardware,Critical,4 Hours,2023-12-28,2024-01-11,14
INC00293,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Software,Low,1 Week,2023-12-14,2023-12-26,12
INC00294,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Closed,Hardware,Critical,4 Hours,2023-12-27,2024-01-08,12
INC00295,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Escalated,Hardware,Low,1 Week,2023-12-25,2024-01-09,15
INC00296,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Networking,High,24 Hours,2024-01-07,2024-01-21,14
INC00297,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Resolved,Hardware,Low,1 Week,2023-12-23,2023-12-28,5
INC00298,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Storage,High,24 Hours,2023-12-15,2023-12-27,12
INC00299,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Storage,High,24 Hours,2023-12-29,2023-12-30,1
INC00300,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Closed,Networking,Medium,3 Days,2023-12-14,2023-12-21,7
INC00301,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Storage,Medium,3 Days,2023-12-20,2023-12-28,8
INC00302,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Escalated,Hardware,High,24 Hours,2023-12-12,2023-12-16,4
INC00303,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Networking,High,24 Hours,2023-12-20,2024-01-03,14
INC00304,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Escalated,Hardware,Critical,4 Hours,2023-12-13,2023-12-18,5
INC00305,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Pending,Hardware,Low,1 Week,2023-12-25,2024-01-02,8
INC00306,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Storage,Critical,4 Hours,2023-12-29,2024-01-10,12
INC00307,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Software,High,24 Hours,2024-01-03,2024-01-09,6
INC00308,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Storage,Low,1 Week,2024-01-07,2024-01-16,9
INC00309,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Escalated,Hardware,High,24 Hours,2023-12-14,2023-12-26,12
INC00310,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Networking,High,24 Hours,2023-12-11,2023-12-17,6
INC00311,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Storage,Low,1 Week,2024-01-01,2024-01-02,1
INC00312,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Networking,High,24 Hours,2024-01-02,2024-01-15,13
INC00313,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Closed,Hardware,Critical,4 Hours,2023-12-11,2023-12-12,1
INC00314,Software Installation Error,Error encountered during the installation of software X.,Team D,Pending,Networking,Medium,3 Days,2023-12-30,2024-01-12,13
INC00315,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Networking,High,24 Hours,2023-12-24,2024-01-01,8
INC00316,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Closed,Hardware,High,24 Hours,2023-12-13,2023-12-19,6
INC00317,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Networking,Medium,3 Days,2023-12-30,2024-01-06,7
INC00318,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Networking,Medium,3 Days,2024-01-08,2024-01-23,15
INC00319,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Resolved,Hardware,High,24 Hours,2024-01-02,2024-01-10,8
INC00320,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Software,Critical,4 Hours,2023-12-27,2024-01-06,10
INC00321,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Resolved,Hardware,Critical,4 Hours,2024-01-03,2024-01-06,3
INC00322,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Escalated,Hardware,High,24 Hours,2024-01-03,2024-01-11,8
INC00323,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Networking,High,24 Hours,2023-12-30,2024-01-08,9
INC00324,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Resolved,Hardware,Medium,3 Days,2023-12-16,2023-12-31,15
INC00325,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Storage,Critical,4 Hours,2023-12-12,2023-12-12,0
INC00326,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Storage,Critical,4 Hours,2023-12-15,2023-12-26,11
INC00327,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Storage,Low,1 Week,2023-12-27,2023-12-27,0
INC00328,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Storage,Critical,4 Hours,2023-12-21,2023-12-25,4
INC00329,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Storage,Critical,4 Hours,2023-12-19,2024-01-02,14
INC00330,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Resolved,Hardware,Medium,3 Days,2024-01-03,2024-01-17,14
INC00331,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Networking,Low,1 Week,2023-12-28,2023-12-30,2
INC00332,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Storage,Medium,3 Days,2023-12-18,2023-12-28,10
INC00333,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Software,Medium,3 Days,2023-12-24,2024-01-04,11
INC00334,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Software,Medium,3 Days,2024-01-02,2024-01-11,9
INC00335,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Storage,Critical,4 Hours,2024-01-09,2024-01-09,0
INC00336,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Pending,Software,High,24 Hours,2023-12-15,2023-12-18,3
INC00337,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Software,High,24 Hours,2023-12-15,2023-12-25,10
INC00338,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Networking,High,24 Hours,2024-01-04,2024-01-14,10
INC00339,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Software,Medium,3 Days,2023-12-19,2023-12-30,11
INC00340,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Escalated,Hardware,Critical,4 Hours,2023-12-13,2023-12-17,4
INC00341,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Escalated,Hardware,Medium,3 Days,2024-01-02,2024-01-06,4
INC00342,Software Installation Error,Error encountered during the installation of software X.,Team D,Closed,Software,Low,1 Week,2023-12-22,2023-12-27,5
INC00343,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Closed,Hardware,Medium,3 Days,2023-12-14,2023-12-20,6
INC00344,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Pending,Hardware,High,24 Hours,2023-12-22,2024-01-04,13
INC00345,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Software,Critical,4 Hours,2023-12-22,2023-12-30,8
INC00346,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Networking,Critical,4 Hours,2023-12-16,2023-12-17,1
INC00347,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Software,Critical,4 Hours,2023-12-31,2024-01-15,15
INC00348,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Resolved,Networking,Low,1 Week,2024-01-01,2024-01-05,4
INC00349,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Resolved,Hardware,Critical,4 Hours,2024-01-02,2024-01-14,12
INC00350,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Networking,Medium,3 Days,2023-12-18,2023-12-27,9
INC00351,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Resolved,Networking,Low,1 Week,2023-12-22,2023-12-27,5
INC00352,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Pending,Hardware,Critical,4 Hours,2023-12-27,2024-01-04,8
INC00353,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Software,High,24 Hours,2023-12-23,2024-01-04,12
INC00354,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Escalated,Networking,Medium,3 Days,2023-12-27,2023-12-28,1
INC00355,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Pending,Networking,High,24 Hours,2023-12-31,2023-12-31,0
INC00356,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Escalated,Networking,Critical,4 Hours,2024-01-04,2024-01-09,5
INC00357,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Closed,Software,High,24 Hours,2023-12-21,2023-12-30,9
INC00358,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Storage,Medium,3 Days,2024-01-04,2024-01-09,5
INC00359,Software Installation Error,Error encountered during the installation of software X.,Team A,Resolved,Networking,Medium,3 Days,2023-12-16,2023-12-27,11
INC00360,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Resolved,Networking,Medium,3 Days,2023-12-21,2023-12-26,5
INC00361,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Software,Medium,3 Days,2024-01-05,2024-01-14,9
INC00362,Software Installation Error,Error encountered during the installation of software X.,Team D,Resolved,Storage,Critical,4 Hours,2024-01-01,2024-01-10,9
INC00363,Software Installation Error,Error encountered during the installation of software X.,Team B,Closed,Software,Critical,4 Hours,2023-12-11,2023-12-15,4
INC00364,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Closed,Hardware,Low,1 Week,2023-12-18,2023-12-30,12
INC00365,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team A,Escalated,Hardware,High,24 Hours,2023-12-21,2024-01-01,11
INC00366,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Closed,Networking,Critical,4 Hours,2023-12-17,2023-12-31,14
INC00367,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Escalated,Software,High,24 Hours,2023-12-27,2024-01-02,6
INC00368,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Storage,Medium,3 Days,2023-12-22,2023-12-22,0
INC00369,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Pending,Networking,High,24 Hours,2023-12-17,2023-12-22,5
INC00370,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Closed,Hardware,High,24 Hours,2023-12-10,2023-12-10,0
INC00371,Printer Not Responding,The network printer in the finance department is not responding.,Team B,Pending,Hardware,Critical,4 Hours,2024-01-08,2024-01-14,6
INC00372,Printer Not Responding,The network printer in the finance department is not responding.,Team C,Closed,Hardware,Low,1 Week,2024-01-03,2024-01-04,1
INC00373,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Pending,Hardware,High,24 Hours,2023-12-12,2023-12-20,8
INC00374,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Networking,Low,1 Week,2023-12-30,2024-01-04,5
INC00375,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Pending,Networking,Medium,3 Days,2023-12-16,2023-12-25,9
INC00376,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Escalated,Networking,Medium,3 Days,2023-12-17,2023-12-27,10
INC00377,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Storage,Medium,3 Days,2023-12-29,2023-12-29,0
INC00378,Software Installation Error,Error encountered during the installation of software X.,Team C,Resolved,Software,Low,1 Week,2023-12-27,2023-12-31,4
INC00379,Software Installation Error,Error encountered during the installation of software X.,Team C,Pending,Networking,Low,1 Week,2024-01-06,2024-01-17,11
INC00380,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Closed,Storage,Low,1 Week,2023-12-11,2023-12-15,4
INC00381,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Closed,Software,Low,1 Week,2023-12-19,2023-12-29,10
INC00382,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Networking,Low,1 Week,2024-01-08,2024-01-20,12
INC00383,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Pending,Hardware,Low,1 Week,2023-12-22,2024-01-02,11
INC00384,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Pending,Storage,High,24 Hours,2023-12-15,2023-12-18,3
INC00385,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Pending,Hardware,Low,1 Week,2023-12-24,2024-01-02,9
INC00386,Software Installation Error,Error encountered during the installation of software X.,Team A,Closed,Storage,High,24 Hours,2024-01-03,2024-01-15,12
INC00387,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Networking,Low,1 Week,2023-12-25,2024-01-01,7
INC00388,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Storage,Critical,4 Hours,2024-01-08,2024-01-22,14
INC00389,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Escalated,Networking,Low,1 Week,2023-12-22,2024-01-03,12
INC00390,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Storage,High,24 Hours,2023-12-21,2023-12-27,6
INC00391,Software Installation Error,Error encountered during the installation of software X.,Team C,Closed,Software,High,24 Hours,2024-01-06,2024-01-09,3
INC00392,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Storage,Critical,4 Hours,2023-12-20,2023-12-27,7
INC00393,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Resolved,Networking,High,24 Hours,2023-12-22,2023-12-26,4
INC00394,Software Installation Error,Error encountered during the installation of software X.,Team B,Pending,Software,Medium,3 Days,2024-01-03,2024-01-06,3
INC00395,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team C,Escalated,Software,Medium,3 Days,2023-12-19,2023-12-21,2
INC00396,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Pending,Hardware,Medium,3 Days,2023-12-18,2023-12-29,11
INC00397,Printer Not Responding,The network printer in the finance department is not responding.,Team D,Escalated,Hardware,Critical,4 Hours,2023-12-15,2023-12-18,3
INC00398,Software Installation Error,Error encountered during the installation of software X.,Team B,Escalated,Software,Critical,4 Hours,2023-12-24,2023-12-27,3
INC00399,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Storage,Low,1 Week,2023-12-13,2023-12-15,2
INC00400,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team D,Pending,Hardware,Critical,4 Hours,2024-01-07,2024-01-19,12
INC00401,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team A,Pending,Storage,Critical,4 Hours,2023-12-14,2023-12-16,2
INC00402,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team B,Escalated,Networking,High,24 Hours,2024-01-09,2024-01-12,3
INC00403,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team B,Escalated,Hardware,Medium,3 Days,2023-12-15,2023-12-22,7
INC00404,Email Client Crash,The email client crashes repeatedly when opening attachments.,Team D,Closed,Software,Medium,3 Days,2023-12-19,2023-12-22,3
INC00405,Printer Not Responding,The network printer in the finance department is not responding.,Team A,Closed,Hardware,High,24 Hours,2023-12-10,2023-12-10,0
INC00406,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Software,High,24 Hours,2023-12-26,2024-01-06,11
INC00407,Laptop Overheating,User reports that their company-issued laptop overheats frequently.,Team C,Escalated,Hardware,High,24 Hours,2023-12-30,2023-12-30,0
INC00408,Software Installation Error,Error encountered during the installation of software X.,Team B,Resolved,Networking,Critical,4 Hours,2024-01-08,2024-01-13,5
INC00409,Software Installation Error,Error encountered during the installation of software X.,Team A,Escalated,Networking,Critical,4 Hours,2023-12-10,2023-12-12,2
INC00410,Software Installation Error,Error encountered during the installation of software X.,Team A,Pending,Networking,Medium,3 Days,2023-12-19,2023-12-19,0
INC00411,Software Installation Error,Error encountered during the installation of software X.,Team C,Escalated,Storage,Medium,3 Days,2024-01-07,2024-01-15,8
